<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus.Gold.Com.ETF,20220411,92910.00,94400.00,92910.00,93682.00,283745696860,3028805,1900,D,92031.00,93076.00
Lotus.Gold.Com.ETF,20220410,91010.00,92789.00,90730.00,92031.00,138257975911,1502304,1364,D,90570.00,92570.00
Lotus.Gold.Com.ETF,20220409,89631.00,91245.00,89631.00,90570.00,205577761736,2269833,1447,D,89032.00,91010.00
Lotus.Gold.Com.ETF,20220406,88690.00,89600.00,88045.00,89032.00,124938816309,1403310,1070,D,88920.00,89007.00
Lotus.Gold.Com.ETF,20220405,88150.00,89542.00,88150.00,88920.00,100048088343,1125144,1338,D,87536.00,88971.00
Lotus.Gold.Com.ETF,20220404,87030.00,88100.00,87001.00,87536.00,56805598939,648941,770,D,86953.00,87799.00
Lotus.Gold.Com.ETF,20220403,87500.00,87950.00,86562.00,86953.00,93787718336,1078603,1062,D,87287.00,86737.00
Lotus.Gold.Com.ETF,20220330,86900.00,87600.00,86762.00,87287.00,49021848456,561616,477,D,86543.00,87210.00
Lotus.Gold.Com.ETF,20220329,85403.00,87501.00,85403.00,86543.00,58885212250,680416,593,D,85362.00,87450.00
Lotus.Gold.Com.ETF,20220328,85900.00,85900.00,85252.00,85362.00,17139691694,200788,399,D,85042.00,85264.00
Lotus.Gold.Com.ETF,20220327,85250.00,85250.00,84820.00,85042.00,34852100671,409822,361,D,85308.00,85245.00
Lotus.Gold.Com.ETF,20220326,85950.00,85950.00,84720.00,85308.00,16334490843,191477,378,D,84603.00,85402.00
Lotus.Gold.Com.ETF,20220319,85001.00,85090.00,83812.00,84603.00,89492804974,1057802,843,D,85455.00,84300.00
Lotus.Gold.Com.ETF,20220316,85580.00,85702.00,85100.00,85455.00,48320394540,565449,722,D,85978.00,85390.00
Lotus.Gold.Com.ETF,20220315,85800.00,87129.00,85000.00,85978.00,87307864106,1015473,795,D,86062.00,86801.00
Lotus.Gold.Com.ETF,20220314,85800.00,86498.00,85798.00,86062.00,44420514563,516145,715,D,86743.00,86100.00
Lotus.Gold.Com.ETF,20220313,85660.00,87690.00,85660.00,86743.00,150050274539,1729823,1376,D,85459.00,87213.00
Lotus.Gold.Com.ETF,20220312,85510.00,85740.00,85210.00,85459.00,117892753518,1379522,953,D,84715.00,85478.00
Lotus.Gold.Com.ETF,20220309,85500.00,85500.00,84010.00,84715.00,94802417401,1119077,1097,D,85027.00,84160.00
Lotus.Gold.Com.ETF,20220308,84721.00,85760.00,84660.00,85027.00,140015924648,1646714,1144,D,83161.00,85500.00
Lotus.Gold.Com.ETF,20220307,82850.00,84200.00,82321.00,83161.00,118695968956,1427303,1052,D,81738.00,83911.00
Lotus.Gold.Com.ETF,20220306,82487.00,82487.00,81600.00,81738.00,53431693311,653692,773,D,82603.00,81712.00
Lotus.Gold.Com.ETF,20220305,82650.00,83480.00,82020.00,82603.00,68699753312,831681,1000,D,83678.00,82270.00
Lotus.Gold.Com.ETF,20220302,83186.00,84000.00,83001.00,83678.00,50875326658,607990,805,D,83055.00,84000.00
Lotus.Gold.Com.ETF,20220228,82916.00,83190.00,82916.00,83055.00,32398975631,390090,516,D,82929.00,83130.00
Lotus.Gold.Com.ETF,20220227,83000.00,83340.00,82545.00,82929.00,26561312261,320289,523,D,82933.00,83075.00
Lotus.Gold.Com.ETF,20220226,82800.00,83299.00,82350.00,82933.00,73746296662,889232,884,D,82182.00,83190.00
Lotus.Gold.Com.ETF,20220223,82950.00,82950.00,81912.00,82182.00,39119052466,476004,642,D,82621.00,82192.00
Lotus.Gold.Com.ETF,20220222,81910.00,83000.00,81910.00,82621.00,141783064333,1716076,930,D,80897.00,82321.00
Lotus.Gold.Com.ETF,20220221,80600.00,81333.00,80555.00,80897.00,80074456501,989838,917,D,80890.00,81291.00
Lotus.Gold.Com.ETF,20220220,81590.00,81590.00,80419.00,80890.00,52218912143,645554,745,D,81493.00,81197.00
Lotus.Gold.Com.ETF,20220219,82501.00,82501.00,81250.00,81493.00,52568691614,645071,727,D,82916.00,81775.00
Lotus.Gold.Com.ETF,20220216,83000.00,83190.00,82578.00,82916.00,35573623959,429034,574,D,84188.00,82934.00
