<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
419892,419892,419892,419892,934,0.22%,2023/06/10,1402/03/20
420826,420826,420826,420826,421,0.10%,2023/06/07,1402/03/17
421247,421247,421247,421247,104,0.02%,2023/06/06,1402/03/16
421351,421351,421351,421351,91,0.02%,2023/05/31,1402/03/10
421442,421442,421442,421442,4399,1.04%,2023/05/29,1402/03/08
425841,425841,425841,425841,845,0.20%,2023/05/28,1402/03/07
424996,424996,424996,424996,71,0.02%,2023/05/27,1402/03/06
425067,425067,425067,425067,220,0.05%,2023/05/24,1402/03/03
424847,424847,424847,424847,220,0.05%,2023/05/23,1402/03/02
424627,424627,424627,424627,1100,0.26%,2023/05/22,1402/03/01
423527,423527,423527,423527,466,0.11%,2023/05/12,1402/02/22
423061,423061,423061,423061,2197,0.52%,2023/05/02,1402/02/12
420864,420864,420864,420864,1204,0.29%,2023/05/01,1402/02/11
419660,419660,419660,419660,550,0.13%,2023/04/25,1402/02/05
422900,422900,422900,422900,1607,0.38%,2023/04/23,1402/02/03
424507,424507,424507,424507,1631,0.39%,2023/04/19,1402/01/30
422876,422876,422876,422876,1204,0.29%,2023/04/18,1402/01/29
421672,421672,421672,421672,1396,0.33%,2023/04/17,1402/01/28
420276,420276,420276,420276,1163,0.28%,2023/04/16,1402/01/27
419113,419113,419113,419113,1872,0.45%,2023/04/15,1402/01/26
417241,417241,417241,417241,114,0.03%,2023/04/14,1402/01/25
417127,417127,417127,417127,2201,0.53%,2023/04/10,1402/01/21
414926,414926,414926,414926,4946,1.21%,2023/04/09,1402/01/20
409980,409980,409980,409980,3581,0.88%,2023/04/08,1402/01/19
406399,406399,406399,406399,1296,0.32%,2023/04/07,1402/01/18
407695,407695,407695,407695,5695,1.42%,2023/04/05,1402/01/16
402000,402000,402000,402000,1000,0.25%,2023/03/15,1401/12/24
403000,403000,403000,403000,2900,0.72%,2023/03/12,1401/12/21
405900,405900,405900,405900,6464,1.59%,2023/03/11,1401/12/20
421164,412364,421164,412364,11000,2.67%,2023/03/10,1401/12/19
423364,423364,423364,423364,1100,0.26%,2023/03/08,1401/12/17
424464,424464,424464,424464,9958,2.35%,2023/03/06,1401/12/15
434422,434422,434422,434422,1370,0.32%,2023/03/05,1401/12/14
435792,435792,435792,435792,12372,2.84%,2023/03/04,1401/12/13
330000,330000,448164,448164,64,0.01%,2023/03/03,1401/12/12
448100,448100,448100,448100,141172,46.00%,2023/01/03,1401/10/13
306928,306928,306928,306928,4,-,2023/01/01,1401/10/11
306924,306924,306924,306924,4,-,2022/12/31,1401/10/10
306928,306928,306928,306928,4,-,2022/12/30,1401/10/09
306525,306525,306932,306932,1293,0.42%,2022/12/27,1401/10/06
305639,304136,305639,305639,1503,0.49%,2022/12/25,1401/10/04
304136,304136,304136,304136,914,0.30%,2022/12/24,1401/10/03
303222,303222,303222,303222,96,0.03%,2022/12/23,1401/10/02
303318,303318,303318,303318,99,0.03%,2022/12/21,1401/09/30
303417,303417,303417,303417,98,0.03%,2022/12/20,1401/09/29
303515,303515,303515,303515,108,0.04%,2022/12/19,1401/09/28
303623,303623,303623,303623,11,-,2022/12/18,1401/09/27
303612,303612,303612,303612,1005,0.33%,2022/12/17,1401/09/26
304617,304617,304617,304617,1015,0.33%,2022/12/16,1401/09/25
302505,302505,303602,303602,1097,0.36%,2022/12/13,1401/09/22
301617,301617,301617,301617,1047,0.35%,2022/12/12,1401/09/21
300570,300570,300570,300570,1047,0.35%,2022/12/11,1401/09/20
299523,299523,299523,299523,1507,0.51%,2022/12/10,1401/09/19
