<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
505020.00,503260.00,505100.00,503490.00,2030.00,0.40%,2023-12-05,1402/09/14
505040.00,504150.00,505600.00,505520.00,510.00,0.10%,2023-12-04,1402/09/13
504520.00,504050.00,506100.00,505010.00,320.00,0.06%,2023-12-03,1402/09/12
503320.00,503050.00,504800.00,504690.00,650.00,0.13%,2023-12-02,1402/09/11
505820.00,505150.00,506900.00,505340.00,150.00,0.03%,2023-11-30,1402/09/09
503310.00,501400.00,521000.00,505190.00,140.00,0.03%,2023-11-29,1402/09/08
504880.00,501860.00,505600.00,505050.00,810.00,0.16%,2023-11-27,1402/09/06
503540.00,501550.00,505100.00,501860.00,1830.00,0.36%,2023-11-26,1402/09/05
503430.00,501650.00,505600.00,503690.00,410.00,0.08%,2023-11-25,1402/09/04
502020.00,500850.00,503600.00,503280.00,1550.00,0.31%,2023-11-23,1402/09/02
503880.00,501050.00,504100.00,501730.00,230.00,0.05%,2023-11-22,1402/09/01
501410.00,500850.00,505550.00,501500.00,1360.00,0.27%,2023-11-21,1402/08/30
501190.00,500390.00,503600.00,502860.00,260.00,0.05%,2023-11-20,1402/08/29
506360.00,502350.00,506910.00,502600.00,3480.00,0.69%,2023-11-19,1402/08/28
508110.00,505350.00,508110.00,506080.00,2790.00,0.55%,2023-11-18,1402/08/27
510010.00,508150.00,510110.00,508870.00,270.00,0.05%,2023-11-16,1402/08/25
510930.00,508350.00,511110.00,508600.00,2420.00,0.48%,2023-11-15,1402/08/24
510550.00,509350.00,511910.00,511020.00,640.00,0.13%,2023-11-14,1402/08/23
513790.00,510850.00,513910.00,511660.00,1590.00,0.31%,2023-11-13,1402/08/22
514980.00,512550.00,515100.00,513250.00,10.00,-,2023-11-12,1402/08/21
514120.00,512850.00,515300.00,513240.00,20.00,-,2023-11-11,1402/08/20
513750.00,513050.00,514300.00,513260.00,3060.00,0.60%,2023-11-09,1402/08/18
511400.00,509550.00,514260.00,510200.00,1570.00,0.31%,2023-11-08,1402/08/17
513090.00,511550.00,513300.00,511770.00,1450.00,0.28%,2023-11-07,1402/08/16
514250.00,511860.00,514300.00,513220.00,1170.00,0.23%,2023-11-06,1402/08/15
514190.00,512050.00,515800.00,512050.00,790.00,0.15%,2023-11-05,1402/08/14
517360.00,510050.00,517600.00,511260.00,10240.00,2%,2023-11-04,1402/08/13
518400.00,518200.00,521600.00,521500.00,4670.00,0.90%,2023-11-02,1402/08/11
514870.00,513380.00,517900.00,516830.00,230.00,0.04%,2023-11-01,1402/08/10
516770.00,515370.00,518060.00,516600.00,2100.00,0.41%,2023-10-31,1402/08/09
511950.00,510650.00,514600.00,514500.00,940.00,0.18%,2023-10-30,1402/08/08
519550.00,513350.00,519560.00,513560.00,7830.00,1.52%,2023-10-29,1402/08/07
519300.00,517850.00,522100.00,521390.00,6050.00,1.17%,2023-10-28,1402/08/06
511350.00,510680.00,515900.00,515340.00,4340.00,0.85%,2023-10-26,1402/08/04
508340.00,508150.00,511400.00,511000.00,4230.00,0.83%,2023-10-25,1402/08/03
510820.00,505150.00,510900.00,506770.00,1280.00,0.25%,2023-10-24,1402/08/02
507150.00,505450.00,507200.00,505490.00,310.00,0.06%,2023-10-23,1402/08/01
499950.00,498250.00,505900.00,505800.00,4700.00,0.94%,2023-10-21,1402/07/29
506070.00,501050.00,506300.00,501100.00,9780.00,1.95%,2023-10-20,1402/07/28
510100.00,509950.00,512450.00,510880.00,1280.00,0.25%,2023-10-18,1402/07/26
513830.00,508450.00,514000.00,509600.00,240.00,0.05%,2023-10-17,1402/07/25
503450.00,503250.00,510500.00,509840.00,6930.00,1.38%,2023-10-16,1402/07/24
505610.00,502750.00,505640.00,502910.00,4610.00,0.92%,2023-10-15,1402/07/23
508530.00,507000.00,508640.00,507520.00,-,-,2023-10-14,1402/07/22
512230.00,506200.00,512440.00,507980.00,3720.00,0.73%,2023-10-13,1402/07/21
511700.00,511700.00,511700.00,511700.00,-,-,2023-10-12,1402/07/20
513240.00,510200.00,513440.00,511700.00,2530.00,0.49%,2023-10-11,1402/07/19
516500.00,513200.00,516500.00,514230.00,770.00,0.15%,2023-10-10,1402/07/18
524500.00,514800.00,525540.00,515000.00,6310.00,1.23%,2023-10-09,1402/07/17
524020.00,520810.00,530540.00,521310.00,2820.00,0.54%,2023-10-08,1402/07/16
514040.00,512800.00,519710.00,518490.00,14450.00,2.87%,2023-10-07,1402/07/15
499910.00,499800.00,504540.00,504040.00,5070.00,1.02%,2023-10-06,1402/07/14
498970.00,498910.00,498970.00,498970.00,-,-,2023-10-05,1402/07/13
496640.00,496600.00,499000.00,498970.00,2950.00,0.59%,2023-10-04,1402/07/12
496140.00,494900.00,496700.00,496020.00,360.00,0.07%,2023-10-03,1402/07/11
496380.00,496380.00,496380.00,496380.00,-,-,2023-10-02,1402/07/10
496830.00,495500.00,497400.00,496380.00,920.00,0.19%,2023-10-01,1402/07/09
495160.00,495000.00,497000.00,495460.00,510.00,0.10%,2023-09-30,1402/07/08
494830.00,493500.00,497500.00,495970.00,590.00,0.12%,2023-09-29,1402/07/07
