<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kian.Gold.ETF,20231007,121397.00,125094.00,121397.00,122974.00,80173131537,651950,717,D,119155.00,125000.00
Kian.Gold.ETF,20231004,119000.00,119709.00,119000.00,119155.00,34066573402,285902,341,D,119946.00,119499.00
Kian.Gold.ETF,20231002,120114.00,120893.00,119503.00,119946.00,64190746155,535163,350,D,119766.00,119684.00
Kian.Gold.ETF,20231001,119999.00,120000.00,119100.00,119766.00,30547557828,255060,333,D,118964.00,119765.00
Kian.Gold.ETF,20230930,119700.00,119701.00,118000.00,118964.00,76984218665,647123,584,D,120199.00,119001.00
Kian.Gold.ETF,20230927,120824.00,120824.00,120000.00,120199.00,48624234673,404532,513,D,120826.00,120004.00
Kian.Gold.ETF,20230926,121211.00,121760.00,120500.00,120826.00,72520321120,600205,477,D,121515.00,120999.00
Kian.Gold.ETF,20230925,123000.00,123000.00,121000.00,121515.00,46181560850,380049,514,D,122349.00,121210.00
Kian.Gold.ETF,20230923,122310.00,123890.00,121701.00,122349.00,27557754064,225238,463,D,122912.00,122639.00
Kian.Gold.ETF,20230920,123200.00,123549.00,122400.00,122912.00,52157563434,424348,355,D,123263.00,122986.00
Kian.Gold.ETF,20230919,123300.00,123800.00,123022.00,123263.00,25400748392,206070,336,D,123615.00,123600.00
Kian.Gold.ETF,20230918,124002.00,124497.00,123301.00,123615.00,37618031535,304317,505,D,124938.00,123779.00
Kian.Gold.ETF,20230917,126050.00,126050.00,124521.00,124938.00,68247789686,546254,396,D,125086.00,124745.00
Kian.Gold.ETF,20230913,125250.00,125695.00,124645.00,125086.00,82265828524,657675,538,D,124386.00,125495.00
Kian.Gold.ETF,20230912,124500.00,124759.00,124011.00,124386.00,42470419640,341440,351,D,125089.00,124500.00
Kian.Gold.ETF,20230911,125002.00,125300.00,125000.00,125089.00,37988355737,303691,465,D,125225.00,125179.00
Kian.Gold.ETF,20230910,126779.00,126779.00,125001.00,125225.00,24151004520,192861,394,D,125927.00,125494.00
Kian.Gold.ETF,20230909,126300.00,126380.00,125605.00,125927.00,49485481495,392969,477,D,125411.00,125900.00
Kian.Gold.ETF,20230905,125608.00,126474.00,125000.00,125411.00,78106667750,622804,490,D,126669.00,125270.00
Kian.Gold.ETF,20230904,127000.00,127289.00,126300.00,126669.00,33454891492,264112,346,D,127118.00,126530.00
Kian.Gold.ETF,20230903,126900.00,128000.00,126102.00,127118.00,136082567145,1070524,563,D,125232.00,127201.00
Kian.Gold.ETF,20230902,125450.00,125700.00,124920.00,125232.00,28476130385,227387,368,D,125450.00,125258.00
