<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
"391,440","387,320","391,590","387,590",5410,1.40%,2023-01-01,1401/10/11
"386,820","379,820","397,090","393,000",4000,1.03%,2022-12-31,1401/10/10
"406,690","389,000","407,020","389,000",27150,6.98%,2022-12-30,1401/10/09
"416,150","416,150","416,150","416,150",-,-,2022-12-29,1401/10/08
"413,630","400,560","417,140","416,150",2810,0.68%,2022-12-28,1401/10/07
"401,040","397,830","425,060","403,000",5790,1.46%,2022-12-27,1401/10/06
"397,210","397,210","397,210","397,210",-,-,2022-12-26,1401/10/05
"395,590","390,090","405,790","397,210",1560,0.39%,2022-12-25,1401/10/04
"395,670","393,270","399,000","395,650",30,0.01%,2022-12-24,1401/10/03
"390,270","389,200","396,810","395,620",5120,1.31%,2022-12-23,1401/10/02
"390,500","390,500","390,500","390,500",-,-,2022-12-22,1401/10/01
"382,400","382,210","390,500","390,500",6420,1.67%,2022-12-21,1401/09/30
"384,520","378,000","387,250","384,080",590,0.15%,2022-12-20,1401/09/29
"385,020","378,820","388,820","384,670",3650,0.95%,2022-12-19,1401/09/28
"385,750","382,610","393,500","388,320",2990,0.78%,2022-12-18,1401/09/27
"388,400","379,010","389,170","385,330",1580,0.41%,2022-12-17,1401/09/26
"375,770","375,770","389,430","386,910",8630,2.28%,2022-12-16,1401/09/25
"378,280","378,280","378,280","378,280",-,-,2022-12-15,1401/09/24
"383,770","376,200","389,260","378,280",-,-,2022-12-14,1401/09/23
"375,070","369,980","389,370","378,280",1020,0.27%,2022-12-13,1401/09/22
"374,470","368,100","379,570","374,350",1250,0.33%,2022-12-12,1401/09/21
"369,010","367,710","375,730","375,600",3600,0.97%,2022-12-11,1401/09/20
"361,790","361,290","372,000","372,000",10930,3.03%,2022-12-10,1401/09/19
"357,060","356,840","363,940","361,070",2450,0.68%,2022-12-09,1401/09/18
"360,440","357,760","361,160","358,620",680,0.19%,2022-12-07,1401/09/16
"357,630","355,210","361,400","359,300",330,0.09%,2022-12-06,1401/09/15
"360,580","357,730","361,500","358,970",470,0.13%,2022-12-05,1401/09/14
"359,520","356,120","362,810","358,500",1000,0.28%,2022-12-04,1401/09/13
"357,350","356,300","357,500","357,500",260,0.07%,2022-12-03,1401/09/12
"354,670","354,020","357,240","357,240",710,0.20%,2022-12-02,1401/09/11
"357,950","357,950","357,950","357,950",1000,0.28%,2022-12-01,1401/09/10
"351,970","351,770","356,950","356,950",2450,0.69%,2022-11-30,1401/09/09
"353,850","352,610","354,500","354,500",-,-,2022-11-29,1401/09/08
"356,190","353,780","357,800","354,500",3620,1.02%,2022-11-28,1401/09/07
"355,960","351,820","360,420","358,120",3420,0.96%,2022-11-27,1401/09/06
"352,520","351,350","357,250","354,700",2080,0.59%,2022-11-26,1401/09/05
"349,900","349,900","349,900","349,900",3000,0.86%,2022-11-24,1401/09/03
"345,230","345,090","352,900","352,900",4910,1.41%,2022-11-23,1401/09/02
"349,850","347,590","352,130","347,990",810,0.23%,2022-11-22,1401/09/01
"351,410","347,770","353,060","348,800",3200,0.92%,2022-11-21,1401/08/30
"353,490","350,380","354,950","352,000",400,0.11%,2022-11-20,1401/08/29
"348,240","348,160","352,700","351,600",3430,0.99%,2022-11-19,1401/08/28
"350,400","347,670","352,330","348,160",650,0.19%,2022-11-18,1401/08/27
"347,510","347,510","347,510","347,510",-,-,2022-11-17,1401/08/26
"353,680","344,460","353,680","347,510",3940,1.13%,2022-11-16,1401/08/25
"355,320","349,580","355,680","351,450",1000,0.28%,2022-11-15,1401/08/24
"352,080","351,690","356,600","352,450",40,0.01%,2022-11-14,1401/08/23
"353,260","352,490","354,820","352,490",1030,0.29%,2022-11-13,1401/08/22
"349,020","348,650","355,020","353,520",4110,1.18%,2022-11-12,1401/08/21
"350,780","348,750","351,320","349,410",1180,0.34%,2022-11-11,1401/08/20
"350,590","350,590","350,590","350,590",-,-,2022-11-10,1401/08/19
"354,050","348,350","354,120","350,590",3300,0.94%,2022-11-09,1401/08/18
"353,560","353,560","353,890","353,890",8050,2.27%,2022-11-08,1401/08/17
"361,940","361,940","361,940","361,940",29430,8.85%,2022-11-06,1401/08/15
"333,665","332,510","334,820","332,510",19310,5.81%,2022-10-31,1401/08/09
"351,820","351,820","351,820","351,820",22050,6.69%,2022-10-30,1401/08/08
"329,110","328,350","330,020","329,770",620,0.19%,2022-10-29,1401/08/07
"330,110","329,150","330,820","329,150",1370,0.42%,2022-10-28,1401/08/06
"330,520","330,520","330,520","330,520",-,-,2022-10-27,1401/08/05
"330,220","329,950","330,820","330,520",1710,0.52%,2022-10-26,1401/08/04
"328,910","327,850","328,920","328,810",50,0.02%,2022-10-25,1401/08/03
"328,010","327,750","328,820","328,760",1040,0.32%,2022-10-24,1401/08/02
"327,160","326,250","328,020","327,720",430,0.13%,2022-10-23,1401/08/01
"328,380","327,560","329,020","328,150",490,0.15%,2022-10-22,1401/07/30
"326,520","326,450","328,620","327,660",1110,0.34%,2022-10-21,1401/07/29
"326,550","326,550","326,550","326,550",-,-,2022-10-20,1401/07/28
"327,190","325,750","327,220","326,550",1420,0.43%,2022-10-19,1401/07/27
"329,450","327,950","329,520","327,970",420,0.13%,2022-10-18,1401/07/26
"326,970","326,450","328,520","328,390",230,0.07%,2022-10-17,1401/07/25
"329,820","328,350","329,820","328,620",2590,0.79%,2022-10-16,1401/07/24
"329,170","328,950","331,520","331,210",3190,0.97%,2022-10-15,1401/07/23
"328,620","327,450","328,620","328,020",1440,0.44%,2022-10-14,1401/07/22
"329,460","329,460","329,460","329,460",-,-,2022-10-13,1401/07/21
"326,210","326,150","329,520","329,460",2950,0.90%,2022-10-12,1401/07/20
"327,020","325,650","327,520","326,510",1010,0.31%,2022-10-11,1401/07/19
"324,980","324,750","328,120","327,520",2560,0.79%,2022-10-10,1401/07/18
"323,070","320,850","325,620","324,960",1940,0.60%,2022-10-09,1401/07/17
"326,110","322,950","326,110","323,020",3170,0.98%,2022-10-08,1401/07/16
"328,060","325,460","328,110","326,190",420,0.13%,2022-10-07,1401/07/15
"327,010","325,950","327,020","326,610",4410,1.35%,2022-10-05,1401/07/13
"331,020","331,020","331,020","331,020",-,-,2022-10-04,1401/07/12
"333,180","330,450","333,220","331,020",1440,0.44%,2022-10-03,1401/07/11
"333,450","330,750","334,520","332,460",1000,0.30%,2022-10-02,1401/07/10
"327,320","325,750","332,520","331,460",290,0.09%,2022-10-01,1401/07/09
"321,480","321,450","331,820","331,170",12690,3.98%,2022-09-30,1401/07/08
"318,480","318,480","318,480","318,480",-,-,2022-09-29,1401/07/07
"318,510","318,450","318,520","318,480",170,0.05%,2022-09-28,1401/07/06
"317,310","317,150","318,520","318,310",1500,0.47%,2022-09-27,1401/07/05
"316,810","316,810","316,810","316,810",-,-,2022-09-26,1401/07/04
"316,020","316,020","317,520","316,810",200,0.06%,2022-09-25,1401/07/03
"317,010","317,010","317,010","317,010",-,-,2022-09-24,1401/07/02
"317,150","316,450","318,810","317,010",350,0.11%,2022-09-23,1401/07/01
"316,660","316,660","316,660","316,660",-,-,2022-09-22,1401/06/31
"315,950","314,950","317,720","316,660",460,0.15%,2022-09-21,1401/06/30
